# CFP data AMPL format

set F := 1 2 3 4 5 6 ;
set Z := 1 2 3 4 ;
set V := 1 2 3 ;

param a :=
1 0
2 0
3 1
4 1
5 0
6 0
;

param H :=
1 1 1
1 2 0
1 3 0
1 4 0
2 1 0
2 2 1
2 3 0
2 4 0
3 1 0
3 2 0
3 3 1
3 4 0
4 1 0
4 2 0
4 3 0
4 4 1
5 1 0
5 2 0
5 3 0
5 4 1
6 1 0
6 2 0
6 3 0
6 4 1
;

param A :=
1 1 1
1 2 1
1 3 1
1 4 0
2 1 1
2 2 1
2 3 0
2 4 1
3 1 1
3 2 0
3 3 1
3 4 1
4 1 0
4 2 1
4 3 1
4 4 1
;

param dem :=
1 10
2 15
3 19
4 23
;

param Nz :=
1 20
2 30
3 10
4 16
;

param c :=
1 10
2 20
3 30
4 16
5 32
6 46
;

param cap :=
1 10
2 20
3 16
4 18
5 12
6 40
;

param dist :=
1 1 2166.174000
1 2 885.472000
1 3 2978.734000
1 4 1537.597800
1 5 2541.850000
1 6 5353.348000
2 1 2166.174000
2 2 885.472000
2 3 2978.734000
2 4 1537.597800
2 5 2541.850000
2 6 5353.348000
3 1 2166.174000
3 2 885.472000
3 3 2978.734000
3 4 1537.597800
3 5 2541.850000
3 6 5353.348000
;

param B :=
400
;

param R :=
4
;

param cst :=
12
;

param cr :=
28
;

param gamma :=
0.5
;

